case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG10_T1b,bpg,BPG10,T1b,6,L-BFGS-B,3.09,2.445176e-04,1.129175e-06,False,11844,False
BPG10_T1b,bpg,BPG10,T1b,6,least_squares,0.963,3.899677e-13,1.800860e-15,True,564,False
BPG10_T2a,bpg,BPG10,T2a,4,CMA-ES,1.24,1.787541e-08,8.254814e-11,True,3940,False
BPG10_T2a,bpg,BPG10,T2a,4,DE,34.283,2.367987e-06,1.093529e-08,False,116620,False
BPG10_T2a,bpg,BPG10,T2a,4,Hybrid,0.011,3.900566e-13,1.801270e-15,True,1,False
BPG10_T2a,bpg,BPG10,T2a,4,L-BFGS-B,0.051,3.399250e+01,1.569764e-01,False,85,False
BPG10_T2a,bpg,BPG10,T2a,4,least_squares,0.153,3.899455e-13,1.800757e-15,True,93,False
BPG10_T2b,bpg,BPG10,T2b,4,CMA-ES,0.64,1.812628e-09,8.370662e-12,True,3080,False
BPG10_T2b,bpg,BPG10,T2b,4,DE,4.448,3.899455e-13,1.800757e-15,True,13900,False
BPG10_T2b,bpg,BPG10,T2b,4,Hybrid,0.01,3.900566e-13,1.801270e-15,True,1,False
BPG10_T2b,bpg,BPG10,T2b,4,L-BFGS-B,0.031,2.869072e+01,1.324929e-01,False,90,False
BPG10_T2b,bpg,BPG10,T2b,4,least_squares,0.009,1.000000e+20,4.617971e+17,False,3,False
BPG10_T4a,bpg,BPG10,T4a,7,CMA-ES,11.845,1.920745e-06,8.869947e-09,False,60000,False
BPG10_T4a,bpg,BPG10,T4a,7,DE,37.243,2.989745e-06,1.380656e-08,False,204968,False
BPG10_T4a,bpg,BPG10,T4a,7,Hybrid,2.73,3.899707e-13,1.800874e-15,True,5824,False
BPG10_T4a,bpg,BPG10,T4a,7,L-BFGS-B,1.119,1.556945e-06,7.189926e-09,False,4776,False
BPG10_T4a,bpg,BPG10,T4a,7,least_squares,0.047,3.899602e-13,1.800825e-15,True,38,False
BPG10_T4b,bpg,BPG10,T4b,7,CMA-ES,8.788,5.976780e-07,2.760060e-09,False,33540,False
BPG10_T4b,bpg,BPG10,T4b,7,DE,53.577,9.134447e-07,4.218261e-09,False,210362,False
BPG10_T4b,bpg,BPG10,T4b,7,Hybrid,4.407,3.899515e-13,1.800785e-15,True,6916,False
BPG10_T4b,bpg,BPG10,T4b,7,L-BFGS-B,0.478,9.224384e-09,4.259794e-11,True,2944,False
BPG10_T4b,bpg,BPG10,T4b,7,least_squares,0.097,3.899484e-13,1.800770e-15,True,56,False
BPG11_T0,bpg,BPG11,T0,6,CMA-ES,10.201,4.388377e-01,6.043981e-03,False,50240,False
BPG11_T0,bpg,BPG11,T0,6,DE,31.451,4.388377e-01,6.043981e-03,False,129133,False
BPG11_T0,bpg,BPG11,T0,6,Hybrid,0.801,5.639697e-12,7.767388e-14,True,1076,False
BPG11_T0,bpg,BPG11,T0,6,L-BFGS-B,3.471,4.388450e-01,6.044083e-03,False,12495,False
BPG11_T0,bpg,BPG11,T0,6,least_squares,5.503,8.011885e+00,1.103453e-01,False,2558,False
BPG11_T1a,bpg,BPG11,T1a,9,CMA-ES,15.443,4.732308e-09,6.517668e-11,True,35060,False
BPG11_T1a,bpg,BPG11,T1a,9,DE,120.005,1.277350e-03,1.759257e-05,False,180480,True
BPG11_T1a,bpg,BPG11,T1a,9,Hybrid,17.027,5.638760e-12,7.766096e-14,True,19660,False
BPG11_T1a,bpg,BPG11,T1a,9,L-BFGS-B,3.628,1.056444e+00,1.455009e-02,False,8980,False
BPG11_T1a,bpg,BPG11,T1a,9,least_squares,41.065,1.069046e-03,1.472365e-05,False,10476,False
BPG11_T1b,bpg,BPG11,T1b,9,CMA-ES,20.632,4.210811e-01,5.799425e-03,False,48240,False
BPG11_T1b,bpg,BPG11,T1b,9,DE,110.41,2.158414e-02,2.972720e-04,False,271730,False
BPG11_T1b,bpg,BPG11,T1b,9,Hybrid,29.735,5.635201e-12,7.761195e-14,True,40136,False
BPG11_T1b,bpg,BPG11,T1b,9,L-BFGS-B,4.368,3.993183e+01,5.499693e-01,False,14740,False
BPG11_T1b,bpg,BPG11,T1b,9,least_squares,12.293,4.210811e-01,5.799425e-03,False,3586,False
BPG11_T2a,bpg,BPG11,T2a,7,CMA-ES,13.455,9.303329e-01,1.281320e-02,False,31680,False
BPG11_T2a,bpg,BPG11,T2a,7,DE,58.407,7.133213e-02,9.824363e-04,False,166918,False
BPG11_T2a,bpg,BPG11,T2a,7,Hybrid,6.955,5.633563e-12,7.758940e-14,True,11718,False
BPG11_T2a,bpg,BPG11,T2a,7,L-BFGS-B,3.828,2.445206e-01,3.367710e-03,False,12344,False
BPG11_T2a,bpg,BPG11,T2a,7,least_squares,53.234,8.908463e-02,1.226936e-03,False,18436,False
BPG11_T2b,bpg,BPG11,T2b,7,CMA-ES,3.695,7.049579e+01,9.709177e-01,False,9660,False
BPG11_T2b,bpg,BPG11,T2b,7,DE,68.607,8.288836e-01,1.141597e-02,False,210986,False
BPG11_T2b,bpg,BPG11,T2b,7,Hybrid,0.72,5.639697e-12,7.767388e-14,True,1,False
BPG11_T2b,bpg,BPG11,T2b,7,L-BFGS-B,0.013,1.000000e+20,1.377270e+18,False,24,False
