case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG13_T1b,bpg,BPG13,T1b,10,L-BFGS-B,1.384,5.706788e-06,7.071740e-06,False,3025,False
BPG13_T1b,bpg,BPG13,T1b,10,least_squares,3.828,5.290751e-13,6.556194e-13,True,847,False
BPG14_T1a,bpg,BPG14,T1a,9,CMA-ES,21.051,1.111064e-04,3.518838e-05,False,48100,False
BPG14_T1a,bpg,BPG14,T1a,9,DE,90.447,7.858612e-05,2.488891e-05,False,271200,False
BPG14_T1a,bpg,BPG14,T1a,9,Hybrid,18.016,1.281346e-13,4.058136e-14,True,23630,False
BPG14_T1a,bpg,BPG14,T1a,9,L-BFGS-B,1.228,4.823901e-05,1.527772e-05,False,5280,False
BPG14_T1a,bpg,BPG14,T1a,9,least_squares,36.046,1.871830e-04,5.928249e-05,False,9004,False
BPG14_T1b,bpg,BPG14,T1b,9,CMA-ES,13.976,5.257333e-05,1.665043e-05,False,41200,False
BPG14_T1b,bpg,BPG14,T1b,9,DE,95.526,7.717253e-05,2.444122e-05,False,271040,False
BPG14_T1b,bpg,BPG14,T1b,9,Hybrid,18.008,1.279429e-13,4.052063e-14,True,28715,False
BPG14_T1b,bpg,BPG14,T1b,9,L-BFGS-B,1.144,1.858880e-02,5.887235e-03,False,4360,False
BPG14_T1b,bpg,BPG14,T1b,9,least_squares,46.679,1.030633e-04,3.264105e-05,False,10083,False
BPG15_T1a,bpg,BPG15,T1a,7,CMA-ES,20.947,4.501929e-01,8.724851e-03,False,60000,False
BPG15_T1a,bpg,BPG15,T1a,7,DE,61.428,4.278356e-01,8.291561e-03,False,190642,False
BPG15_T1a,bpg,BPG15,T1a,7,Hybrid,23.624,1.098382e-12,2.128691e-14,True,45201,False
BPG15_T1a,bpg,BPG15,T1a,7,L-BFGS-B,1.991,9.438449e-06,1.829195e-07,False,5000,False
BPG15_T1a,bpg,BPG15,T1a,7,least_squares,1.678,1.098454e-12,2.128831e-14,True,530,False
BPG15_T1b,bpg,BPG15,T1b,7,CMA-ES,18.651,1.671650e-01,3.239699e-03,False,43300,False
BPG15_T1b,bpg,BPG15,T1b,7,DE,30.015,1.055763e+00,2.046095e-02,False,100502,False
BPG15_T1b,bpg,BPG15,T1b,7,Hybrid,6.19,1.098512e-12,2.128944e-14,True,9678,False
BPG15_T1b,bpg,BPG15,T1b,7,L-BFGS-B,0.95,2.254368e+01,4.369021e-01,False,3096,False
BPG15_T1b,bpg,BPG15,T1b,7,least_squares,4.043,2.252959e-04,4.366291e-06,False,1071,False
